id,product,description,price,qty,date
75,Zen Watch Boost,null,72.18,534,2014-04-08 17:50:12
76,Shift Sharp Lightbulb,null,9.25,943,2006-05-14 07:24:07
77,Plexiglass Lime Appliance,null,93.16,287,2010-05-04 17:21:43
78,Plastic White Lightbulb,null,95.83,582,2000-09-01 23:32:13
79,Smart Gold Appliance,null,17.68,710,2022-11-11 23:03:11
80,Ultra-Lightweight Blender Bold,null,28.21,631,2006-05-18 02:20:49
81,Fusion Smart Toy,null,48.60,384,2020-04-29 22:42:26
82,Teal Iron Pro,null,80.84,853,2001-09-23 00:01:45
83,Toaster X Glass,null,21.92,374,2017-02-22 16:49:10
84,Quartz Olive Printer,null,17.87,652,2002-08-20 17:14:14
85,Watch Plus Stainless,null,25.95,96,2001-02-28 10:46:10
86,Spark Versatile Clock,null,77.02,857,2001-05-25 17:53:01
87,Navy Appliance Flux,null,66.42,290,2018-10-19 21:49:18
88,Sharp Ceramic Console,null,21.37,582,2007-08-22 04:07:00
89,Carbon Gray Printer,null,90.21,375,2015-08-12 23:42:56
90,Sharp Laptop Blaze,null,70.07,635,2016-01-19 15:07:05
91,Precision Smart Bike,null,78.31,701,2002-11-02 19:00:50
92,Teal Vacuum Boost,null,13.99,460,2005-02-05 07:21:01
93,Luxe Scale Max,null,19.39,383,2011-03-15 01:45:11
94,Compact Aluminum Lamp,null,73.86,279,2016-01-17 15:33:59
95,Ceramic Purple Scale,null,82.79,792,2006-08-04 21:51:10
96,Gray Suede Shaver,null,72.33,520,2004-08-15 02:00:48
97,Versatile Wireless Hair Dryer,null,79.69,771,2017-03-20 23:22:44
98,Connect Bold Oven,null,35.43,717,2016-08-03 19:42:08
99,Compact Carbon Fan,null,23.79,108,2019-12-15 18:37:12
100,Robust Bronze Watch,"some description",95.84,137,2017-12-29 20:55:18
